Name,Team,GP,Min,M-FG,A-FG,Pct-FG,M-3PT,A-3PT,Pct-3PT,M-FT,A-FT,Pct-FT,Off-Rb,Def-Rb,Tot-Rb,Ast,TO,Stl,Blk,PF,PPG
Stephen Curry,GS,70,33.9,10.1,20,50.6,5,11.1,45,4.7,5.3,90.2,0.9,4.5,5.4,6.6,3.2,2.1,0.2,2,30
James Harden,HOU,74,37.9,8.4,19.5,43.4,2.7,7.9,34.4,9,10.4,86.6,0.8,5.6,6.4,7.5,4.6,1.7,0.6,2.9,28.6
Kevin Durant,OKC,67,35.9,9.7,19,50.8,2.5,6.5,38.9,6.1,6.8,89.3,0.6,7.7,8.3,5,3.4,0.9,1.2,1.9,28
DeMarcus Cousins,SAC,62,34.6,9.2,20.5,45.1,1.1,3.3,33.7,7.5,10.3,72.3,2.5,9.1,11.6,3.3,3.8,1.5,1.4,3.6,27
Damian Lillard,POR,68,35.9,8.4,19.8,42.3,3.1,8.2,37.9,5.5,6.1,89.2,0.6,3.6,4.2,6.9,3.3,0.9,0.4,2.3,25.4
LeBron James,CLE,70,35.6,9.6,18.8,51,1.1,3.8,29.3,4.8,6.6,72.3,1.4,6,7.4,6.6,3.2,1.4,0.6,1.9,25
Anthony Davis,NO,61,35.5,9.2,18.6,49.3,0.6,1.8,32.4,5.3,7,75.8,2.1,8.1,10.3,1.9,2,1.3,2,2.4,24.3
Russell Westbrook,OKC,74,34.5,8.3,18.2,45.8,1.2,4.2,29.9,5.8,7.2,81.3,1.8,5.9,7.7,10.4,4.2,2.1,0.3,2.5,23.7
DeMar DeRozan,TOR,72,36.2,7.9,17.7,44.5,0.6,1.8,32.8,7.3,8.6,84.6,0.8,3.6,4.4,4,2.3,1,0.3,2.2,23.6
Paul George,IND,73,35.3,7.5,18.2,41.3,2.7,7.2,37.4,5.7,6.6,85.6,1,6,7,4.1,3.3,1.9,0.4,3,23.4
Blake Griffin,LAC,30,34.9,9.4,18.4,50.8,0.2,0.6,35.3,4.3,5.9,72.5,1.6,7,8.7,5,2.4,0.7,0.6,2.8,23.2
Klay Thompson,GS,71,33.1,8.3,17.5,47.4,3.6,8.2,43.5,2.5,2.9,87,0.4,3.4,3.8,2,1.8,0.8,0.6,1.9,22.7
Isaiah Thomas,BOS,74,32.5,7.2,16.8,42.8,2,5.7,35.3,5.8,6.6,88.5,0.6,2.4,3,6.3,2.6,1.1,0.1,2.1,22.3
Carmelo Anthony,NY,67,35.6,7.9,18.2,43.4,1.5,4.3,34.6,4.7,5.7,82.4,1.4,6.5,7.9,4.2,2.5,0.9,0.5,2.5,22
Kyle Lowry,TOR,71,37.2,6.7,15.5,43.3,2.7,7.1,38.5,5.4,6.6,81.4,0.7,4.1,4.8,6.5,2.9,2.1,0.4,2.7,21.6
Jimmy Butler,CHI,58,37.1,7,15.7,44.8,1,3.1,31.7,6.1,7.4,82.3,1.1,4.1,5.2,4.4,1.9,1.7,0.6,1.9,21.2
Kemba Walker,CHA,72,35.9,7.1,16.6,43,2.2,5.8,37.9,4.6,5.4,84.6,0.7,3.7,4.4,5.2,2.1,1.6,0.4,1.4,21
Kawhi Leonard,SA,66,32.8,7.7,15.1,50.9,1.9,4,46.2,3.8,4.3,88,1.3,5.5,6.8,2.5,1.5,1.8,0.9,1.8,21
Brook Lopez,BKN,71,34,8.2,15.9,51.5,0,0.2,15.4,4.4,5.6,78.7,2.8,5.1,7.9,2,2.4,0.8,1.7,3,20.8
C.J. McCollum,POR,73,34.8,8,18,44.3,2.4,5.9,41.3,2.3,2.8,82.9,0.6,2.7,3.3,4.2,2.4,1.2,0.3,2.4,20.7
Andrew Wiggins,MIN,73,35.3,7.3,16,45.5,0.7,2.3,29,5.5,7.2,75.7,1.4,2.3,3.7,2.1,2.2,0.9,0.6,2,20.7
Eric Bledsoe,PHO,31,34.2,7.2,15.9,45.3,1.5,4.2,37.2,4.5,5.5,80.2,0.6,3.5,4,6.1,3.5,2,0.6,2.4,20.4
John Wall,WAS,73,36.1,7.5,17.6,42.8,1.5,4.2,35.1,3.6,4.6,79.3,0.6,4.3,4.9,10.2,4.1,1.9,0.7,2,20.2
Chris Paul,LAC,68,33.1,7,15.2,46.1,1.7,4.5,37.3,4,4.5,89.2,0.5,3.6,4.1,9.9,2.7,2.1,0.2,2.6,19.8
Brandon Knight,PHO,51,36,7.2,17.2,41.6,2.3,6.7,34.4,3,3.5,85.3,0.7,3.2,3.9,5.1,3.4,1.2,0.4,2.4,19.6
Gordon Hayward,UTA,72,35.9,6.4,14.9,43.1,1.8,5,35.8,5,6,83.3,0.8,4.1,4.8,3.7,2.5,1.2,0.3,2.3,19.6
Danilo Gallinari,DEN,53,34.7,5.4,13.2,41,1.6,4.5,36.4,7.1,8.2,86.8,1,4.3,5.3,2.5,1.5,0.8,0.4,1.6,19.5
Kyrie Irving,CLE,46,31,7.4,16.2,45.6,1.5,4.8,30.9,3.1,3.5,89.4,0.8,2.1,2.9,4.5,2.2,1,0.3,2,19.4
Dwyane Wade,MIA,67,30.5,7.3,16,45.3,0.1,0.6,17.9,4.5,5.7,78.7,1.1,3,4.1,4.7,2.8,1.1,0.6,1.6,19.1
Chris Bosh,MIA,53,33.5,6.8,14.5,46.7,1.5,4.2,36.5,4,5.1,79.5,0.9,6.5,7.4,2.4,1.5,0.7,0.6,1.9,19.1
Dirk Nowitzki,DAL,67,31.4,6.8,14.9,45.9,1.7,4.4,38.4,3.3,3.6,89.3,0.7,5.9,6.6,1.7,1.1,0.7,0.8,2.1,18.6
Reggie Jackson,DET,73,30.6,6.8,15.6,43.8,1.5,4.2,35.2,3.4,4,85.7,0.7,2.5,3.2,6.2,2.7,0.8,0.1,2.3,18.6
Karl-Anthony Towns,MIN,74,31.8,7.6,13.9,54.8,0.3,1,33.8,2.8,3.4,82.5,2.8,7.5,10.3,1.8,2.2,0.7,1.7,3,18.3
Khris Middleton,MIL,74,36.4,6.3,14.5,43.8,1.9,4.6,40.1,3.5,4,88.2,0.6,3.2,3.8,4.2,2.2,1.6,0.2,2.6,18.1
LaMarcus Aldridge,SA,68,30.5,7.3,14.2,51.4,0,0.2,0,3.5,4.1,85.7,2.4,6.3,8.6,1.5,1.3,0.4,1.1,2.1,18.1
Nikola Vucevic,ORL,58,31.8,8,16.1,49.7,0,0.2,22.2,1.7,2.2,77.2,2.8,6.2,9,2.8,1.9,0.8,1.1,2.7,17.8
Jahlil Okafor,PHI,53,30,7.5,14.7,50.8,0,0.1,16.7,2.5,3.7,68.6,2.3,4.7,7,1.2,2.3,0.4,1.2,2.6,17.5
Bradley Beal,WAS,48,31,6.5,14.4,45.2,1.9,4.9,39.7,2.4,3.2,75.8,0.6,2.8,3.4,2.9,2,1,0.2,2.1,17.4
Paul Millsap,ATL,74,32.5,6.2,13.1,47.4,0.9,2.8,31.6,3.9,5.1,75.5,2.4,6.4,8.7,3.3,2.3,1.8,1.6,2.9,17.2
Rudy Gay,SAC,64,33.8,6.6,14.2,46.9,1.1,3.1,35.7,2.7,3.4,78.2,1.4,4.9,6.3,1.7,1.9,1.4,0.7,2.6,17.1
Ryan Anderson,NO,66,30.4,6,14.1,42.7,2,5.4,36.6,3,3.5,87.3,2,4,6,1.1,1.4,0.6,0.4,1.7,17
Kobe Bryant,LAL,58,28.6,5.8,16.3,35.7,1.9,6.8,28.3,3.3,4.1,81,0.7,3.2,3.9,3,2,0.9,0.2,1.8,16.9
Derrick Rose,CHI,61,32,7,16.2,43.1,0.7,2.3,30.8,2.2,2.8,79.2,0.7,2.8,3.5,4.8,2.7,0.7,0.2,1.3,16.9
Jrue Holiday,NO,65,28.2,6.3,14.4,43.9,1.3,4,33.6,2.8,3.3,84.3,0.4,2.6,3,6,2.6,1.4,0.3,2.3,16.8
Derrick Favors,UTA,57,32.4,6.8,13.4,51.1,0,0.1,0,3.1,4.2,71.9,2.8,5.5,8.4,1.6,1.7,1.2,1.5,2.5,16.7
Pau Gasol,CHI,65,31.8,6.5,14,46.9,0.3,0.9,36.8,3.3,4.1,80.4,2.2,8.8,11,4.1,2.2,0.6,1.9,2,16.7
Andre Drummond,DET,74,33.1,7,13.3,52.9,0,0.1,33.3,2.6,7.3,36.1,4.9,10,14.9,0.8,1.9,1.5,1.4,3.1,16.7
Giannis Antetokounmpo,MIL,72,35.2,6.3,12.6,50.4,0.2,1.2,19.5,3.7,5,72.7,1.4,6.2,7.6,4,2.5,1.2,1.4,3.3,16.6
Marc Gasol,MEM,52,34.4,6.3,13.6,46.4,0,0.1,66.7,3.9,4.7,82.9,1.1,5.8,7,3.8,2.3,1,1.3,2.7,16.6
J.J. Redick,LAC,69,28.3,5.6,11.8,47.5,2.7,5.6,47.5,2.6,2.9,88.6,0.1,1.7,1.8,1.4,1.1,0.6,0.1,1.9,16.5
Victor Oladipo,ORL,66,32.9,5.9,13.5,43.7,1.4,4,34.5,2.9,3.5,83.1,0.7,4.2,4.8,3.9,2.2,1.5,0.7,2.3,16
Kevin Love,CLE,69,31.8,5.3,12.7,41.6,1.9,5.6,34.5,3.4,4.1,82,2,7.9,9.9,2.4,1.8,0.8,0.6,2,15.8
Greg Monroe,MIL,72,29.7,6.3,12.1,52.2,0,0,N/A,2.9,4,74,2.8,6.3,9.1,2.2,1.6,0.9,0.9,2.1,15.5
Lou Williams,LAL,66,28.6,4.3,10.4,41,1.6,4.7,34.5,5.3,6.3,83.2,0.5,2.1,2.5,2.5,1.6,0.9,0.3,1.6,15.4
